,descricao_detalhada,marca,departamento_macro,departamento,categoria_familia,tipo_produto,subtipo_funcao,segmento_mercado,publico_ou_tom,grupo_navegacao,apresentacao_publico
126,"ANASTIM LOÇÃO CAPILAR 7,5ML",DUCRAY,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,ANTIQUEDA,LOCAO,NAO DEFINIDO,,
127,"IMECAP HAIR MAX AMPOLA 15ML - SUPLEMENTO PARA HIDRATAÇÃO, TRATAMENTO ANTIQUEBRA E REPARAÇÃO CAPILAR",IMECAP,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,HIDRATACAO,TODO TIPO DE PELE,AMPOLA,,
128,TRIATOP SIST ANTIQUEDA LOC 30ML+SH 150ML,TRIATOP,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,ANTIQUEDA,LOCAO,NAO DEFINIDO,,
129,NEOPTIDE LOÇÃO CAPILAR 30ML,DUCRAY,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,ANTIQUEDA,TODO TIPO DE PELE,LOCAO,,
130,SÉRUM ANTICASPA DERCOS 100ML,DERCOS,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,ANTICASPA,TODO TIPO DE PELE,SERUM,,
131,HIFFILS HIDRATANTE CAPILAR AEROSOL 100G,GERMED,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,HIDRATACAO,MASCARA,NAO DEFINIDO,,
132,SERUM DUCRAY DENSIAGE COM 3 UNIDADES DE 30ML,DUCRAY,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,ANTI IDADE,TODO TIPO DE PELE,SERUM,,
133,PANTOGAR TOP LOÇÃO ANTIQUEDA 80ML,PANTOGAR,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,ANTIQUEDA,TODO TIPO DE PELE,LOCAO,,
134,DERCOS VICHY SERUM OIL CORRECTION 50ML,DERCOS,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,ANTIOLEOSIDADE,PELE OLEOSA,SERUM,,
135,DUCRAY CREASTIM LOÇAO ANTIQUEDA 60ML,DUCRAY,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,ANTIQUEDA,TODO TIPO DE PELE,LOCAO,,
136,LOÇÃO ANTIQUEDA MANTECORP SKINCARE PIELUS FORTE 120ML,PIELUS,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,ANTIQUEDA,TODO TIPO DE PELE,LOCAO,,
137,DERCOS ENERGIZANTE VICHY AMPOLA 40ML,DERCOS,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,ANTIQUEDA,TODO TIPO DE PELE,AMPOLA,,
138,ALPHA RT WOMEN ANTIQUEDA 45ML,MED STAR,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,ANTIQUEDA,LOCAO,NAO DEFINIDO,,
139,PILEXIL SHAMPOO ANTIQUEDA LOÇÃO 150ML,PILEXIL,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,ANTIQUEDA,TODO TIPO DE PELE,LOCAO,,
140,DERCOS KERA SOLUTIONS VICHY MÁSCARA CONCENTRADA ANTIRRIGIDEZ 200ML,DERCOS,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,REPARADOR,TODO TIPO DE PELE,CREME,,
141,NUTRICERAT MÁSCARA DUCRAY 150ML,DUCRAY,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,TRATAMENTO CAPILAR,REPARADOR,TODO TIPO DE PELE,CREME,,
142,ELASTICO CABELO PENDURICALHOS CORES PASTEIS COM 6 UNIDADES,CHOICES BEAUTY,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,ELASTICO,BASICO,6,,
143,ESC CAB MODELAD ALMOF OVAL-111,BELLIZ,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,ELASTICO,NAO DEFINIDO,NAO DEFINIDO,,
144,ELÁSTICO DE CABELO CHOICE BEAUTY 6 UNIDADES,CHOICES BEAUTY,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,ELASTICO,BASICO,6,,
145,ESCOVA DE CABELO MARCO BONI MEIA LUA,MARCO BONI,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,ESCOVA,MEIA LUA,REGULAR,,
146,ESCOVA DE CABELO FIDALGA 2112,FIDALGA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,ESCOVA,NAO DEFINIDO,NAO DEFINIDO,,
147,SECADOR MEGA ST2800 1800WATTS 220V,MEGA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,ELASTICO,NAO DEFINIDO,NAO DEFINIDO,,
148,PIRANHA COLORS MINI 1.5,BELLIZ,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,ELASTICO,NAO DEFINIDO,NAO DEFINIDO,,
149,PENTE MINI DECORADO 6215,GASPAR,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,PENTE,NAO DEFINIDO,NAO DEFINIDO,,
150,ESC CAB BELLIZ TATTOO RACKET - 784,BELLIZ,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,ELASTICO,NAO DEFINIDO,NAO DEFINIDO,,
151,PINCEL DAUF TINTURA GRANDE 1 UNIDADE,DAUF,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,KIT TINTURA,PINCEL,NAO DEFINIDO,,
152,PRES MANU M123 TARTAR 8 CM,MANU,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,ESCOVA,NAO DEFINIDO,NAO DEFINIDO,,
153,GRAMP DE CAB GRAMP MANU M169 REDON,MANU,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,PRENDEDOR,GRAMPO,NAO DEFINIDO,,
154,ESCOVA DE CABELOS PAGUE MENOS ECO BAMBU GRANDE 1 UNIDADE,PAGUE MENOS ECO,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,ESCOVA,BAMBU,REGULAR,,
155,PIRANHA CHOICES BORBOLETA PRETO,CHOICES BEAUTY,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,PIRANHA,BORBOLETA,PRETO,,
156,ELÁSTICO DE CABELO CHOICES BEAUTY MOLA 4 UNIDADES,CHOICES BEAUTY,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,ELASTICO,MOLA,4,,
157,"TIARA FINES TARTAR N106 1,9 CM GDE",FINESTRA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,ESCOVA,NAO DEFINIDO,NAO DEFINIDO,,
158,"TIARA FINES TARTA 2,5 X 3 CM N478 PEQ",FINESTRA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,TIARA,TARTARUGA,NAO DEFINIDO,,
159,ELÁSTICO CABELO PENDURICALHOS BLACK E WHITE COM 6 UNIDADES,CHOICES BEAUTY,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,ELASTICO,BASICO,6,,
160,ELASTICO CABELO PENDURICALHOS PRETO ROSAS COM 6 UNIDADES,CHOICES BEAUTY,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,ELASTICO,BASICO,6,,
161,GRAMPO FLAT GLITTER 65 C12 UN 3 CORES,ZALIKE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,PRENDEDOR,GRAMPO,GLITER COLORIDO,,
162,ESCOVA DE CABELO DAUF BAMBU QUADRADA,DAUF,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,ESCOVA,QUADRADA,REGULAR,,
163,ELÁSTICO CABELO PENDURICALHOS POMPOM,CHOICES BEAUTY,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,ELASTICO,DECORADO,REGULAR,,
164,PENTE MARCO BONI UD COLORES,MARCO BONI,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,PENTE,TRADICIONAL,REGULAR,,
165,ELASTICO CABELOS PENDURICALHOS CORES ALEGRES COM 6 UNIDADES,CHOICES BEAUTY,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,ELASTICO,BASICO,6,,
166,TIC TAC BE BETTER 5CM COLOR 6UND,BE BETTER,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,PRENDEDOR,TIC TAC,COLORIDO,,
167,ELASTICO CABELO DIVA PEROLA COLLOR COM 2 UNIDADES,CHOICES BEAUTY,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,ELASTICO,DECORADO,2,,
168,ESC CAB MARCO BONI RAQUETE PENELOPE CHAR,MARCO BONI,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,ESCOVA,NAO DEFINIDO,NAO DEFINIDO,,
169,PENTE PROF DENT LGO MARCO BONI-1280,MARCO BONI,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,PENTE,DENTE LARGO,REGULAR,,
170,ESC CAB PRADA BLACK ION OVAL-770,BELLIZ,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,ESCOVA,OVAL,REGULAR,,
171,PREND CAB GRAMPO CAB LOIRO NUM 7,BELLIZ,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,ELASTICO,NAO DEFINIDO,NAO DEFINIDO,,
172,ESCOVA POLVO CACHOS CHOICES BEAUTY,CHOICES BEAUTY,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,ESCOVA,POLVO CACHOS,REGULAR,,
173,GRAMPO DAUF NÚMERO 5 DOURADO COM 50 UNIDADES,CHOICES BEAUTY,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,PRENDEDOR,GRAMPO,DOURADO,,
174,PINCEL DE TINTURA BE BETTER 1UN,BE BETTER,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,KIT TINTURA,PINCEL,NAO DEFINIDO,,
175,"LIGA CABELO AMORAVEL CLASSICO MARROM, NUDE E BRANCO COM 12 UNIDADES",AMORAVEL,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,ELASTICO,NAO DEFINIDO,NAO DEFINIDO,,
176,BICO DE PATO CHOICES PRETO,CHOICES BEAUTY,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,PRENDEDOR,BICO DE PATO,PRETO,,
177,PIRANHA DE CABELO AMBAR G C/1,CHOICES BEAUTY,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,PIRANHA,BASICA,AMBAR,,
178,ESCOVA DE CABELO TANGLE TEEZER DESEMBARAÇADORA THE MINI ULTIMATE DETANGLER LILÁS,TANGLE TEEZER,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,ESCOVA,QUADRADA,PREMIUM,,
179,CLIP PLASTICO ESTAMPADO C/6 UN VERTIX,BELLIZ,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,ELASTICO,NAO DEFINIDO,NAO DEFINIDO,,
180,THE ORIGINAL THICK & CURLY SALSA RED,TANGLE TEEZER,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,ESCOVA,OVAL,REGULAR,,
181,KIT PARA VIAGEM RICCA - 3311,RICCA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,KIT VIAGEM,NAO DEFINIDO,NAO DEFINIDO,,
182,PENTE DAUF TRANSPARENTE GRANDE,DAUF,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,PENTE,GRANDE,REGULAR,,
183,PENTE MARCO BONI FINO,MARCO BONI,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,PENTE,FINO,REGULAR,,
184,ESCOVA DE CABELO TANGLE TEEZER PARA FINALIZAÇÃO LILÁS,TANGLE TEEZER,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,ESCOVA,QUADRADA,PREMIUM,,
185,PREND CAB ELASTICO+PIRANHA 12UN-87015,CONSTANTE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,ELASTICO,NAO DEFINIDO,NAO DEFINIDO,,
186,PENTE DAUF BAMBU CABO LONGO,DAUF,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,PENTE,CABO LONGO,BAMBU,,
187,FAIXA ORGANICA P/CABELO ATOALHADA,ORGANICA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,FAIXA,NAO DEFINIDO,NAO DEFINIDO,,
188,ESC CABELO BE BETTER ESCOVA DESEMBARACADORA 1UND,BE BETTER,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,ESCOVA,DESEMBARACA,REGULAR,,
189,GRAMPO CHOICES BEAUTY NÚMERO 7 PRETO COM 25 UNIDADES,CHOICES BEAUTY,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,PRENDEDOR,GRAMPO,PRETO,,
190,PREND CAB ELASTICO COLOR 2MM - 889,BELLIZ,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,ELASTICO,BASICO,REGULAR,,
191,BICO PATO DIVA PRETO C/12,CHOICES BEAUTY,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,ACESSORIO CAPILAR,PRENDEDOR,BICO DE PATO,PRETO,,
192,CREME DE PENTEAR DOVE DANO ACUMULADO THERAPY 200ML,DOVE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,INTERMEDIARIO,FEMININO,,
193,CREME PARA PENTEAR INOAR MEU CACHO MEU CRUSH 500ML,INOAR,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,PREMIUM,FEMININO,,
194,CREME PARA PENTEAR WIDI CARE ONDULANDO A JUBA 500M,WIDI CARE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,VEGANO,PREMIUM,FEMININO,,
195,CREME PARA PENTEAR NIELY GOLD NUTRIÇÃO ABSOLUTA 280G,NIELY GOLD,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,BASICO,FEMININO,,
196,CREME PARA PENTEAR NUTRITIVO ÓLEO DE COCO + 13 AMINOÁCIDOS NIELY GOLD NUTRIÇÃO MÁGICA FRASCO 500ML TAMANHO ECONÔMICO,NIELY GOLD,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRADICIONAL,BASICO,FEMININO,,
197,CREME DE PENTEAR TRESEMME BAIXO POO + NUTRIÇÃO 300ML,TRESEMME,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,INTERMEDIARIO,FEMININO,,
198,"Creme para Pentear L'Oréal Paris Elseve Hidra Hialurônico, 250ml",ELSEVE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,INTERMEDIARIO,FEMININO,,
199,CREME PARA PENTEAR SEDA LUMINOUS UV 300ML,SEDA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,BASICO,FEMININO,,
200,CREME PARA PENTEAR SEDA KERAFORCE ORIGINAL 300ML.,SEDA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,BASICO,FEMININO,,
201,CREME PARA PENTEAR SEDA BOOM DESCOLORIDOS 400ML,SEDA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,BASICO,FEMININO,,
202,CREME PARA PENTEAR FRUCTIS APAGA DANOS 250ML,FRUCTIS,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,BASICO,FEMININO,,
203,CREME PARA PENTEAR SEDA BOOM DEFINIÇÃO 295 ML,SEDA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,BASICO,FEMININO,,
204,CREME PARA PENTEAR WELLA PROSERIES FRIZZ CONTROL 240ML,WELLA PROSERIES,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,PREMIUM,FEMININO,,
205,CREME DE PENTEAR TRESEMME SOLAR REPAIR COM HIBISCO OLEO DE OLIVA E FILTRO UV 300ML,TRESEMME,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,INTERMEDIARIO,FEMININO,,
206,CREME DE PENTEAR DOVE MEN CARE FORÇA E CONTROLE 200ML,DOVE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,INTERMEDIARIO,MASCULINO,,
207,"Creme para Pentear L'Oréal Paris Elseve Liso dos Sonhos, 250ml",ELSEVE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,INTERMEDIARIO,FEMININO,,
208,Creme para Pentear Dove Texturas Reais Cacheados Frasco 355ml,DOVE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,BASICO,FEMININO,,
209,CREME PARA PENTEAR FRUCTIS NUTRIÇÃO VITAMINADA 250ML,FRUCTIS,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,BASICO,FEMININO,,
210,CREME PENTEAR LOVE BEAUTY PLANET CURLS INTENSIFY MANTEIGA DE MURUMURU & ROSA 200ML,LOVE BEAUTY & PLANET,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,VEGANO,PREMIUM,FEMININO,,
211,CREME DE PENTEAR SEDA BOMBA DE ARGAN 300ML,SEDA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,BASICO,FEMININO,,
212,CREME PENTEAR NIELYDIVA CACHOS TURBINADOS 280G,NIELY GOLD,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,BASICO,FEMININO,,
213,CREME DE PENTEAR SEDA BOOM VOLUMAO 295ML,SEDA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,BASICO,FEMININO,,
214,CREME PARA PENTEAR KOLENE CRONOGRAMA CONTROLE DE FRIZZ &  FINALIZAÇÃO ÓLEOS DE ARGAN + ABACATE + OLIVA FRASCO 500ML,KOLENE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,BASICO,FEMININO,,
215,CREME DE PENTEAR SALON LINE NUTRIÇÃO REPARADORA 1KG,SALON LINE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,BASICO,FEMININO,,
216,CREME PARA PENTEAR DOVE RECONSTRUCAO COMPLETA 200ML,DOVE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,INTERMEDIARIO,FEMININO,,
217,CREME DE PENTEAR VEGANO CACHOS CHOICES BEAUTY 200ML,CHOICES BEAUTY,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,VEGANO,INTERMEDIARIO,FEMININO,,
218,Creme Milagroso 3 em 1 L'Oréal Paris Elseve Cachos Longos dos Sonhos 500ml,ELSEVE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,INTERMEDIARIO,FEMININO,,
219,CREME DE PENTEAR SALON LINE SOS ATIVADOR 1KG,SALON LINE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,BASICO,FEMININO,,
220,LEITE PARA PENTEAR ELSÈVE HYDRAMAX COLÁGENO COM 150ML,ELSEVE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,INTERMEDIARIO,FEMININO,,
221,CREME PARA PENTEAR HIDRATANTE SEDA BOOM COM ÓLEO DE JOJOBA E KERATINA DEFINIÇÃO FLEXÍVEL 350ML,SEDA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,BASICO,FEMININO,,
222,CREME PARA PENTEAR TRESEMME SELAGEM CAPILAR CRESPO ORIGINAL 300ML,TRESEMME,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,INTERMEDIARIO,FEMININO,,
223,CREME DE PENTEAR ELSÈVE COLORVIVE COM 250ML,ELSEVE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,INTERMEDIARIO,FEMININO,,
224,CREME ELSEVE 3 EM 1 REPARAÇÃO TOTAL 5 MILAGROSO 500ML,ELSEVE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,INTERMEDIARIO,FEMININO,,
225,CREME PARA PENTEAR PALMOLIVE NATURALS REPARAÇÃO COMPLETA 150ML,PALMOLIVE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,BASICO,FEMININO,,
226,CREME PARA PENTEAR NEGRA ROSA 2 EM 1 MANTEIGA DE KARITÉ 1KG,NEGRA ROSA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,CACHOS,FEMININO,,
227,CREME PENTEAR NIELY DIVA CACHOS TURBINADO 280G,NIELY GOLD,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,BASICO,FEMININO,,
228,CREME DE PENTEAR DOVE CARE ON DAY2 DAY AFTER NUTRE E MODELA 200ML,DOVE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,INTERMEDIARIO,FEMININO,,
229,CREME DE PENTEAR SEDA BOOM TRANSIÇÃO 295ML,SEDA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,BASICO,FEMININO,,
230,CREME PARA PENTEAR NEUTROX CLASSICO 300ML,NEUTROX,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,BASICO,FEMININO,,
231,CREME PARA PENTEAR WIDI CARE ENCARACOLANDO A JUBA 500ML,WIDI CARE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,VEGANO,PREMIUM,FEMININO,,
232,CREME DE PENTEAR DOVE HIDRATAÇÃO INTENSA SPRAY 150ML,DOVE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,INTERMEDIARIO,FEMININO,,
233,CREME ELSEVE 3 EM 1 ÓLEO EXTRAORDINÁRIO MILAGROSO 500ML,ELSEVE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,INTERMEDIARIO,FEMININO,,
234,ATIVADOR DE CACHOS BELEZA NATURAL EXPLOSÃO DE ÓLEOS AFRICANOS 300 ML,BELEZA NATURAL,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,BASICO,FEMININO,,
235,CRM NOVEX ATIV CACHOS RECONS INT 300ML,NOVEX,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,BASICO,FEMININO,,
236,CREME PARA PENTEAR FRUCTIS 3 ÓLEOS BLINDAGEM  250ML,FRUCTIS,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,BASICO,FEMININO,,
237,CREME PENTEAR NIELY GOLD CACHOS DO SEU JEITO OLEO DE LINHAÇA + MANTEIGA DE KARITÉ 250G,NIELY GOLD,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,BASICO,FEMININO,,
238,CREME PARA PENTEAR SEDA POS ALISAMENTO QUIMICO 150ML,SEDA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,BASICO,FEMININO,,
239,CREME PARA PENTEAR ELSEVE QUERA-LISO LEVE E SEDOSO 250ML.,ELSEVE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,INTERMEDIARIO,FEMININO,,
240,CREME DE PENTEAR PANTENE MOLECULAR BOND REPAIR 240G,PANTENE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,INTERMEDIARIO,FEMININO,,
241,CREME PARA PENTEAR WELLA PROSERIES AFTER SUN LISOS 240ML,WELLA PROSERIES,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CREME PENTEAR,TRATAMENTO,PREMIUM,FEMININO,,
242,DERMAGE REVIT OMEGA PLEX MASC CAP SH 20G,DERMAGE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,SILICONE,PREMIUM,FEMININO,,
243,CRM TRAT NOVEX OLEO ARGAN BLINDAGEM 200G,NOVEX,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,SILICONE,PREMIUM,FEMININO,,
244,CRM TRAT OPUS SALON OJON 400G,SALON OPUS,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,SILICONE,PREMIUM,FEMININO,,
245,SERUM NICK VICK ALTA PERFORMANCE PROTEÇÃO E REPARAÇÃO 12ML,NICK VICK,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,SILICONE,SUPER PREMIUM,FEMININO,,
246,LEAVE IN EUDORA SIAGE GLOW EXPERT FINALIZADOR 100ML,SIAGE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,OLEO,PREMIUM,FEMININO,,
247,LEAVE-ON PENT CAPICILIN AR KERATIN 160ML,CAPICILIN,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,FINALIZADOR,LEAVE IN,INTERMEDIARIO,FEMININO,,
