tipo_produto,marca,linha,publico_alvo,apresentacao,volume_peso,curvatura_indicada,tipo_fio_condicao,beneficio_principal,ingredientes_destaque,tecnica_liberada,tipo_coloracao,tom_cor,numero_cor,com_amonia,textura_formato,nivel_fixacao,efeito_visual,protecao_termica,tipo_acessorio,material,funcao_uso,input_original,familia_origem,atributos_tratamento,atributos_coloracao,atributos_finalizacao_modelagem,atributos_acessorios,quantidade_embalagem,cor_visual,nome_cor,acabamento_efeito,funcao_tratamento,composicao_especifica,finalidade_uso,tipo_ponta,esterilizavel,gramatura_textura,formato,metodo_fixacao,atributos_instrumentos_acessorios,atributos_unhas_posticas,soup
Tesoura,DAUF,,Adulto,,,,,,,,,,,,,,,,,Aço Inox,,TESOURA DAUF UNHA RETA INOX,MANICURE E PEDICURE,,,,,1 un,,,,,,Cortar Unha,Reta,Sim,,,,,,tesoura dauf         aço inox
Esmalte,Dailus,Top Coat Brilho,Adulto,,8ml,,,,,,,,,,,,,,,,,ESM DAILUS TOP COAT BRILHO - QUE TUDO TERMINE EM BRILHO 8ML,MANICURE E PEDICURE,,,,,8ml,Incolor,Que Tudo Termine Em Brilho,,Base,,,,,,,,,,esmalte dailus top coat brilho que tudo termine em brilho incolor     8ml
Alicate,Sandy,,,,,,,,,,,,,,,,,,,,,ALICATE PARA CUTÍCULA SANDY,MANICURE E PEDICURE,,,,,,,,,,,Cutícula,,,,,,,,alicate sandy
Esmalte,Risqué,Preconceito Flopou,,,8ml,,,,,,,,,,,,,,,,,ESMALTE RISQUE PRECONCEITO FLOPOU 8ML SEM BLISTER,MANICURE E PEDICURE,,,,,8ml,Preconceito Flopou,Preconceito Flopou,,,,,,,,,,,,esmalte risqué preconceito flopou preconceito flopou preconceito flopou     8ml
Esmalte,Dailus,Base,Adulto,,8ml,,,,,,,,,,,,,,,,,ESM DAILUS MORENA 8ML,MANICURE E PEDICURE,,,,,8ml,,,,Base,,,,,,,,,,esmalte dailus base       8ml
Esmalte,OPI,Sickeningly Sweet,,,15ml,,,,,,,,,,,,,,,,,ESMALTE OPI SICKENINGLY SWEET 15ML,MANICURE E PEDICURE,,,,,15ml,Sickeningly Sweet,Sickeningly Sweet,,,,,,,,,,,,esmalte opi sickeningly sweet sickeningly sweet sickeningly sweet     15ml
Aparelho Esfoliante Elétrico,Pague Menos,,,,,,,,,,,,,,,,,,,,,APARELHO ESFOLIANTE ELETRICO PARA PE PAGUE MENOS,MANICURE E PEDICURE,,,,,,,,,,,Esfoliação,,Não,,,,,,aparelho esfoliante elétrico pague menos
Esmalte,Risqué,,Adulto,,8ml,,,,,,,,,,,,,,,,,ESMALTE RISQUÉ ME DEIXA AMEIXA CREMOSO 8ML,MANICURE E PEDICURE,,,,,1 un,Ameixa,Me Deixa,Cremoso,,,,,,,,,,,esmalte risqué  me deixa ameixa cremoso    8ml
Unha Postiça,KISS,Impress by KISS NY,Adulto,,,,,,,,,,,,,,,,,,,UNHAS POST IMPRESS BY KISS NY MATTE MEDIA SECRET 1 UNIDADE,MANICURE E PEDICURE,,,,,1 un,Matte,Matte Media Secret,Matte,,,,,,,Regular,Com Cola,,,unha postiça kiss impress by kiss ny matte media secret matte matte
Esmalte,Risqué,Metalico,Adulto,,8ml,,,,,,,,,,,,,,,,,ESM RISQUE METALICO ROSA PITANGA 8ML,MANICURE E PEDICURE,,,,,8ml,Rosa,Pitanga,Metálico,Base,,,,,,,,,,esmalte risqué metalico pitanga rosa metálico    8ml
